TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W),Codec
6.37573E+13,23.2,2.2,6,0,15,0,AV1
6.37573E+13,21.8,0.8,6,0,15,0.2,AV1
6.37573E+13,23.6,2.5,6,0.1,15,0.3,AV1
6.37573E+13,29.3,7.8,6,0.5,15,4.5,AV1
6.37573E+13,25.3,4.3,6,0,15,3.5,AV1
6.37573E+13,25.6,4.5,6,0.1,15,3.5,AV1
6.37573E+13,26.4,5.4,6,0,15,4.9,AV1
6.37573E+13,25.9,4.8,6,0,15,4.6,AV1
6.37573E+13,27.7,6.7,6,0,15,5.7,AV1
6.37573E+13,26.6,5.6,6,0,15,4.4,AV1
6.37573E+13,26.2,5.2,6,0.1,15,4.7,AV1
6.37573E+13,26.5,5.5,6,0,15,5,AV1
6.37573E+13,25.9,4.9,6,0,15,4.2,AV1
6.37573E+13,26,4.9,6,0.1,15,4.6,AV1
6.37573E+13,26.3,5.3,6,0,15,4.6,AV1
6.37573E+13,27.1,6,6,0.1,15,5.6,AV1
6.37573E+13,25.5,4.5,6,0,15,3.9,AV1
6.37573E+13,26.5,5.5,6,0,15,4.8,AV1
6.37573E+13,25.4,4.4,6,0.1,15,4.4,AV1
6.37573E+13,29.1,8,6,0.1,15,6.4,AV1
6.37573E+13,28.4,7.4,6,0,15,6.9,AV1
6.37573E+13,28,7,6,0.1,15,6.9,AV1
6.37573E+13,28.6,7.5,6,0,15,6.8,AV1
6.37573E+13,29.2,8.2,6,0,15,7.1,AV1
6.37573E+13,28.7,7.7,6,0,15,6.5,AV1
6.37573E+13,29.5,8.4,6,0.1,15,7.3,AV1
6.37573E+13,27.9,6.8,6,0.1,15,6,AV1
6.37573E+13,28.7,7.6,6,0.1,15,7.2,AV1
6.37573E+13,26.3,5.2,6,0.1,15,4.9,AV1
6.37573E+13,26.2,5.2,6,0,15,3.5,AV1
6.37573E+13,25.5,4.4,6,0,15,4.2,AV1
6.37573E+13,25.5,4.5,6,0,15,3.8,AV1
6.37573E+13,26,5,6,0,15,4.6,AV1
6.37573E+13,25.2,4.1,6,0,15,3.9,AV1
6.37573E+13,28.4,7.4,6,0,15,5.5,AV1
6.37573E+13,25.9,4.9,6,0,15,4.7,AV1
6.37573E+13,27.3,6.2,6,0,15,5.5,AV1
6.37573E+13,24.1,3.1,6,0,15,2.6,AV1
6.37573E+13,26.1,5.1,6,0,15,4.1,AV1
6.37573E+13,25,4,6,0.1,15,2.5,AV1
6.37573E+13,25,4,6,0,15,3.3,AV1
6.37573E+13,23.3,2.3,6,0,15,2.1,AV1
6.37573E+13,25.5,4.5,6,0,15,4,AV1
6.37573E+13,24.5,3.5,6,0,15,3,AV1
6.37573E+13,26.5,5.5,6,0,15,4.2,AV1
6.37573E+13,27.9,6.8,6,0,15,6.3,AV1
6.37573E+13,27,6,6,0,15,5.5,AV1
6.37573E+13,26.7,5.6,6,0,15,5.3,AV1
6.37573E+13,26.7,5.7,6,0,15,4.8,AV1
6.37573E+13,26.4,5.4,6,0,15,5.1,AV1
6.37573E+13,26.9,5.9,6,0.1,15,5.3,AV1
6.37573E+13,27.8,6.8,6,0,15,5.8,AV1
6.37573E+13,27.1,6,6,0,15,5.7,AV1
6.37573E+13,28.3,7.3,6,0,15,5.9,AV1
6.37573E+13,27.9,6.9,6,0,15,5.8,AV1
6.37573E+13,27.1,6.1,6,0,15,5.8,AV1
6.37573E+13,26.9,5.9,6,0.1,15,5.3,AV1
6.37573E+13,27.3,6.2,6,0,15,5.8,AV1
6.37573E+13,29,7.9,6,0.1,15,7.2,AV1
6.37573E+13,26.9,5.9,6,0,15,5.4,AV1
6.37573E+13,28.4,7.4,6,0.1,15,6.3,AV1
6.37573E+13,26.8,5.8,6,0,15,5.6,AV1
